mmm-yy,time
Jan-30,Jan-30
Feb-30,Feb-30
Mar-30,Mar-30
Apr-30,Apr-30
May-30,May-30
Jun-30,Jun-30
Jul-30,Jul-30
Aug-30,Aug-30
Sep-30,Sep-30
Oct-30,Oct-30
Nov-30,Nov-30
Dec-30,Dec-30
Jan-31,Jan-31
Feb-31,Feb-31
Mar-31,Mar-31
Apr-31,Apr-31
May-31,May-31
Jun-31,Jun-31
Jul-31,Jul-31
Aug-31,Aug-31
Sep-31,Sep-31
Oct-31,Oct-31
Nov-31,Nov-31
Dec-31,Dec-31
Jan-32,Jan-32
Feb-32,Feb-32
Mar-32,Mar-32
Apr-32,Apr-32
May-32,May-32
Jun-32,Jun-32
Jul-32,Jul-32
Aug-32,Aug-32
Sep-32,Sep-32
Oct-32,Oct-32
Nov-32,Nov-32
Dec-32,Dec-32
Jan-33,Jan-33
Feb-33,Feb-33
Mar-33,Mar-33
Apr-33,Apr-33
May-33,May-33
Jun-33,Jun-33
Jul-33,Jul-33
Aug-33,Aug-33
Sep-33,Sep-33
Oct-33,Oct-33
Nov-33,Nov-33
Dec-33,Dec-33
Jan-34,Jan-34
Feb-34,Feb-34
Mar-34,Mar-34
Apr-34,Apr-34
May-34,May-34
Jun-34,Jun-34
Jul-34,Jul-34
Aug-34,Aug-34
Sep-34,Sep-34
Oct-34,Oct-34
Nov-34,Nov-34
Dec-34,Dec-34
Jan-35,Jan-35
Feb-35,Feb-35
Mar-35,Mar-35
Apr-35,Apr-35
May-35,May-35
Jun-35,Jun-35
Jul-35,Jul-35
Aug-35,Aug-35
Sep-35,Sep-35
Oct-35,Oct-35
Nov-35,Nov-35
Dec-35,Dec-35
Jan-36,Jan-36
Feb-36,Feb-36
Mar-36,Mar-36
Apr-36,Apr-36
May-36,May-36
Jun-36,Jun-36
Jul-36,Jul-36
Aug-36,Aug-36
Sep-36,Sep-36
Oct-36,Oct-36
Nov-36,Nov-36
Dec-36,Dec-36
Jan-37,Jan-37
Feb-37,Feb-37
Mar-37,Mar-37
Apr-37,Apr-37
May-37,May-37
Jun-37,Jun-37
Jul-37,Jul-37
Aug-37,Aug-37
Sep-37,Sep-37
Oct-37,Oct-37
Nov-37,Nov-37
Dec-37,Dec-37
Jan-38,Jan-38
Feb-38,Feb-38
Mar-38,Mar-38
Apr-38,Apr-38
May-38,May-38
Jun-38,Jun-38
Jul-38,Jul-38
Aug-38,Aug-38
Sep-38,Sep-38
Oct-38,Oct-38
Nov-38,Nov-38
Dec-38,Dec-38
Jan-39,Jan-39
Feb-39,Feb-39
Mar-39,Mar-39
Apr-39,Apr-39
May-39,May-39
Jun-39,Jun-39
Jul-39,Jul-39
Aug-39,Aug-39
Sep-39,Sep-39
Oct-39,Oct-39
Nov-39,Nov-39
Dec-39,Dec-39
Jan-40,Jan-40
Feb-40,Feb-40
Mar-40,Mar-40
Apr-40,Apr-40
May-40,May-40
Jun-40,Jun-40
Jul-40,Jul-40
Aug-40,Aug-40
Sep-40,Sep-40
Oct-40,Oct-40
Nov-40,Nov-40
Dec-40,Dec-40
Jan-41,Jan-41
Feb-41,Feb-41
Mar-41,Mar-41
Apr-41,Apr-41
May-41,May-41
Jun-41,Jun-41
Jul-41,Jul-41
Aug-41,Aug-41
Sep-41,Sep-41
Oct-41,Oct-41
Nov-41,Nov-41
Dec-41,Dec-41
Jan-42,Jan-42
Feb-42,Feb-42
Mar-42,Mar-42
Apr-42,Apr-42
May-42,May-42
Jun-42,Jun-42
Jul-42,Jul-42
Aug-42,Aug-42
Sep-42,Sep-42
Oct-42,Oct-42
Nov-42,Nov-42
Dec-42,Dec-42
Jan-43,Jan-43
Feb-43,Feb-43
Mar-43,Mar-43
Apr-43,Apr-43
May-43,May-43
Jun-43,Jun-43
Jul-43,Jul-43
Aug-43,Aug-43
Sep-43,Sep-43
Oct-43,Oct-43
Nov-43,Nov-43
Dec-43,Dec-43
Jan-44,Jan-44
Feb-44,Feb-44
Mar-44,Mar-44
Apr-44,Apr-44
May-44,May-44
Jun-44,Jun-44
Jul-44,Jul-44
Aug-44,Aug-44
Sep-44,Sep-44
Oct-44,Oct-44
Nov-44,Nov-44
Dec-44,Dec-44
Jan-45,Jan-45
Feb-45,Feb-45
Mar-45,Mar-45
Apr-45,Apr-45
May-45,May-45
Jun-45,Jun-45
Jul-45,Jul-45
Aug-45,Aug-45
Sep-45,Sep-45
Oct-45,Oct-45
Nov-45,Nov-45
Dec-45,Dec-45
Jan-46,Jan-46
Feb-46,Feb-46
Mar-46,Mar-46
Apr-46,Apr-46
May-46,May-46
Jun-46,Jun-46
Jul-46,Jul-46
Aug-46,Aug-46
Sep-46,Sep-46
Oct-46,Oct-46
Nov-46,Nov-46
Dec-46,Dec-46
Jan-47,Jan-47
Feb-47,Feb-47
Mar-47,Mar-47
Apr-47,Apr-47
May-47,May-47
Jun-47,Jun-47
Jul-47,Jul-47
Aug-47,Aug-47
Sep-47,Sep-47
Oct-47,Oct-47
Nov-47,Nov-47
Dec-47,Dec-47
Jan-48,Jan-48
Feb-48,Feb-48
Mar-48,Mar-48
Apr-48,Apr-48
May-48,May-48
Jun-48,Jun-48
Jul-48,Jul-48
Aug-48,Aug-48
Sep-48,Sep-48
Oct-48,Oct-48
Nov-48,Nov-48
Dec-48,Dec-48
Jan-49,Jan-49
Feb-49,Feb-49
Mar-49,Mar-49
Apr-49,Apr-49
May-49,May-49
Jun-49,Jun-49
Jul-49,Jul-49
Aug-49,Aug-49
Sep-49,Sep-49
Oct-49,Oct-49
Nov-49,Nov-49
Dec-49,Dec-49
Jan-50,Jan-50
Feb-50,Feb-50
Mar-50,Mar-50
Apr-50,Apr-50
May-50,May-50
Jun-50,Jun-50
Jul-50,Jul-50
Aug-50,Aug-50
Sep-50,Sep-50
Oct-50,Oct-50
Nov-50,Nov-50
Dec-50,Dec-50
Jan-51,Jan-51
Feb-51,Feb-51
Mar-51,Mar-51
Apr-51,Apr-51
May-51,May-51
Jun-51,Jun-51
Jul-51,Jul-51
Aug-51,Aug-51
Sep-51,Sep-51
Oct-51,Oct-51
Nov-51,Nov-51
Dec-51,Dec-51
Jan-52,Jan-52
Feb-52,Feb-52
Mar-52,Mar-52
Apr-52,Apr-52
May-52,May-52
Jun-52,Jun-52
Jul-52,Jul-52
Aug-52,Aug-52
Sep-52,Sep-52
Oct-52,Oct-52
Nov-52,Nov-52
Dec-52,Dec-52
Jan-53,Jan-53
Feb-53,Feb-53
Mar-53,Mar-53
Apr-53,Apr-53
May-53,May-53
Jun-53,Jun-53
Jul-53,Jul-53
Aug-53,Aug-53
Sep-53,Sep-53
Oct-53,Oct-53
Nov-53,Nov-53
Dec-53,Dec-53
Jan-54,Jan-54
Feb-54,Feb-54
Mar-54,Mar-54
Apr-54,Apr-54
May-54,May-54
Jun-54,Jun-54
Jul-54,Jul-54
Aug-54,Aug-54
Sep-54,Sep-54
Oct-54,Oct-54
Nov-54,Nov-54
Dec-54,Dec-54
Jan-55,Jan-55
Feb-55,Feb-55
Mar-55,Mar-55
Apr-55,Apr-55
May-55,May-55
Jun-55,Jun-55
Jul-55,Jul-55
Aug-55,Aug-55
Sep-55,Sep-55
Oct-55,Oct-55
Nov-55,Nov-55
Dec-55,Dec-55
Jan-56,Jan-56
Feb-56,Feb-56
Mar-56,Mar-56
Apr-56,Apr-56
May-56,May-56
Jun-56,Jun-56
Jul-56,Jul-56
Aug-56,Aug-56
Sep-56,Sep-56
Oct-56,Oct-56
Nov-56,Nov-56
Dec-56,Dec-56
Jan-57,Jan-57
Feb-57,Feb-57
Mar-57,Mar-57
Apr-57,Apr-57
May-57,May-57
Jun-57,Jun-57
Jul-57,Jul-57
Aug-57,Aug-57
Sep-57,Sep-57
Oct-57,Oct-57
Nov-57,Nov-57
Dec-57,Dec-57
Jan-58,Jan-58
Feb-58,Feb-58
Mar-58,Mar-58
Apr-58,Apr-58
May-58,May-58
Jun-58,Jun-58
Jul-58,Jul-58
Aug-58,Aug-58
Sep-58,Sep-58
Oct-58,Oct-58
Nov-58,Nov-58
Dec-58,Dec-58
Jan-59,Jan-59
Feb-59,Feb-59
Mar-59,Mar-59
Apr-59,Apr-59
May-59,May-59
Jun-59,Jun-59
Jul-59,Jul-59
Aug-59,Aug-59
Sep-59,Sep-59
Oct-59,Oct-59
Nov-59,Nov-59
Dec-59,Dec-59
Jan-60,Jan-60
Feb-60,Feb-60
Mar-60,Mar-60
Apr-60,Apr-60
May-60,May-60
Jun-60,Jun-60
Jul-60,Jul-60
Aug-60,Aug-60
Sep-60,Sep-60
Oct-60,Oct-60
Nov-60,Nov-60
Dec-60,Dec-60
Jan-61,Jan-61
Feb-61,Feb-61
Mar-61,Mar-61
Apr-61,Apr-61
May-61,May-61
Jun-61,Jun-61
Jul-61,Jul-61
Aug-61,Aug-61
Sep-61,Sep-61
Oct-61,Oct-61
Nov-61,Nov-61
Dec-61,Dec-61
Jan-62,Jan-62
Feb-62,Feb-62
Mar-62,Mar-62
Apr-62,Apr-62
May-62,May-62
Jun-62,Jun-62
Jul-62,Jul-62
Aug-62,Aug-62
Sep-62,Sep-62
Oct-62,Oct-62
Nov-62,Nov-62
Dec-62,Dec-62
Jan-63,Jan-63
Feb-63,Feb-63
Mar-63,Mar-63
Apr-63,Apr-63
May-63,May-63
Jun-63,Jun-63
Jul-63,Jul-63
Aug-63,Aug-63
Sep-63,Sep-63
Oct-63,Oct-63
Nov-63,Nov-63
Dec-63,Dec-63
Jan-64,Jan-64
Feb-64,Feb-64
Mar-64,Mar-64
Apr-64,Apr-64
May-64,May-64
Jun-64,Jun-64
Jul-64,Jul-64
Aug-64,Aug-64
Sep-64,Sep-64
Oct-64,Oct-64
Nov-64,Nov-64
Dec-64,Dec-64
Jan-65,Jan-65
Feb-65,Feb-65
Mar-65,Mar-65
Apr-65,Apr-65
May-65,May-65
Jun-65,Jun-65
Jul-65,Jul-65
Aug-65,Aug-65
Sep-65,Sep-65
Oct-65,Oct-65
Nov-65,Nov-65
Dec-65,Dec-65
Jan-66,Jan-66
Feb-66,Feb-66
Mar-66,Mar-66
Apr-66,Apr-66
May-66,May-66
